Timestamp,Raw_ADC,Voltage,Rs_kOhm,Rs_R0,Gas_Index,Delta_Index,Trend
2026-08-27 16:29:18,268.0,1.31,28.172,2.817,17.75,17.75,INCREASING
2026-08-27 16:29:19,268.0,1.31,28.172,2.817,17.75,0.0,STABLE
2026-08-27 16:29:20,267.0,1.305,28.315,2.831,17.66,-0.09,STABLE
2026-08-27 16:29:21,267.0,1.305,28.315,2.831,17.66,0.0,STABLE
2026-08-27 16:29:22,267.0,1.305,28.315,2.831,17.66,0.0,STABLE
2026-08-27 16:29:23,267.0,1.305,28.315,2.831,17.66,0.0,STABLE
2026-08-27 16:29:24,267.0,1.305,28.315,2.831,17.66,0.0,STABLE
2026-08-27 16:29:25,267.0,1.305,28.315,2.831,17.66,0.0,STABLE
2026-08-27 16:29:26,266.0,1.3,28.459,2.846,17.57,-0.09,STABLE
2026-08-27 16:29:27,267.0,1.305,28.315,2.831,17.66,0.09,STABLE
2026-08-27 16:29:28,266.0,1.3,28.459,2.846,17.57,-0.09,STABLE
2026-08-27 16:29:29,266.0,1.3,28.459,2.846,17.57,0.0,STABLE
2026-08-27 16:29:30,266.0,1.3,28.459,2.846,17.57,0.0,STABLE
2026-08-27 16:29:31,266.0,1.3,28.459,2.846,17.57,0.0,STABLE
2026-08-27 16:29:32,266.0,1.3,28.459,2.846,17.57,0.0,STABLE
2026-08-27 16:29:33,265.0,1.295,28.604,2.86,17.48,-0.09,STABLE
2026-08-27 16:29:34,265.0,1.295,28.604,2.86,17.48,0.0,STABLE
2026-08-27 16:29:35,265.0,1.295,28.604,2.86,17.48,0.0,STABLE
2026-08-27 16:29:36,265.0,1.295,28.604,2.86,17.48,0.0,STABLE
2026-08-27 16:29:37,265.0,1.295,28.604,2.86,17.48,0.0,STABLE
2026-08-27 16:29:38,265.0,1.295,28.604,2.86,17.48,0.0,STABLE
2026-08-27 16:29:39,264.0,1.29,28.75,2.875,17.39,-0.09,STABLE
2026-08-27 16:29:40,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:41,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:42,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:43,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:44,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:45,263.0,1.285,28.897,2.89,17.3,-0.09,STABLE
2026-08-27 16:29:46,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:29:47,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:29:48,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:29:49,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:29:50,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:29:51,264.0,1.29,28.75,2.875,17.39,0.09,STABLE
2026-08-27 16:29:52,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:53,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:54,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:55,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:56,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:29:57,263.0,1.285,28.897,2.89,17.3,-0.09,STABLE
2026-08-27 16:29:58,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:29:59,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:30:00,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:30:01,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:30:02,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:30:03,264.0,1.29,28.75,2.875,17.39,0.09,STABLE
2026-08-27 16:30:04,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:30:05,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:30:06,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:30:07,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:30:08,264.0,1.29,28.75,2.875,17.39,0.0,STABLE
2026-08-27 16:30:09,263.0,1.285,28.897,2.89,17.3,-0.09,STABLE
2026-08-27 16:30:10,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:30:11,262.0,1.281,29.046,2.905,17.21,-0.09,STABLE
2026-08-27 16:30:12,263.0,1.285,28.897,2.89,17.3,0.09,STABLE
2026-08-27 16:30:13,262.0,1.281,29.046,2.905,17.21,-0.09,STABLE
2026-08-27 16:30:14,263.0,1.285,28.897,2.89,17.3,0.09,STABLE
2026-08-27 16:30:15,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:30:16,263.0,1.285,28.897,2.89,17.3,0.0,STABLE
2026-08-27 16:30:17,262.0,1.281,29.046,2.905,17.21,-0.09,STABLE
2026-08-27 16:30:18,263.0,1.285,28.897,2.89,17.3,0.09,STABLE
